security_id,symbol,timestamps,reason,overnight_return,threshold
UPCOM_ABI,ABI,2018-12-10,large_overnight_jump,0.20364238410596025,0.17
UPCOM_ABI,ABI,2019-03-08,large_overnight_jump,0.22157434402332377,0.17
UPCOM_ABI,ABI,2022-11-15,large_overnight_jump,0.196763202725724,0.17
UPCOM_DDV,DDV,2021-01-29,large_overnight_jump,0.17611336032388647,0.17
HOSE_GEE,GEE,2023-12-21,large_overnight_jump,0.17147856517935267,0.17
HOSE_GEE,GEE,2023-12-28,large_overnight_jump,0.2242079610073111,0.17
HOSE_HHV,HHV,2019-11-29,large_overnight_jump,0.24509803921568651,0.17
HOSE_HHV,HHV,2019-12-24,large_overnight_jump,-0.17391304347826086,0.17
UPCOM_HNG,HNG,2024-09-30,large_overnight_jump,0.1875,0.17
UPCOM_HNG,HNG,2025-02-03,large_overnight_jump,0.1898734177215189,0.17
HNX_IDC,IDC,2018-11-01,large_overnight_jump,-0.1809815950920245,0.17
HNX_IDC,IDC,2018-12-28,large_overnight_jump,0.21357285429141726,0.17
UPCOM_MSR,MSR,2018-08-30,large_overnight_jump,-0.1925311203319502,0.17
UPCOM_MSR,MSR,2025-04-10,large_overnight_jump,0.18796992481203012,0.17
UPCOM_OIL,OIL,2026-02-12,large_overnight_jump,-0.1708860759493671,0.17
UPCOM_OIL,OIL,2026-03-16,large_overnight_jump,0.171875,0.17
UPCOM_SGP,SGP,2018-12-26,large_overnight_jump,0.1902377972465581,0.17
HNX_VFS,VFS,2020-07-02,large_overnight_jump,-0.24297370806890295,0.17
HNX_VFS,VFS,2020-07-28,large_overnight_jump,-0.17710196779964227,0.17
